prune_rank|prune_labels|prune_global_bp|prune_local_bp|total_label_count|avg_label_count|time_elapsed
STATS_Level_2,475480,383966,0,0,545590,20.5194,0.25565
STATS_Level_3,1867094,1697875,0,0,1145160,43.0689,0.881036
STATS_Level_4,2023823,1854269,0,0,1365599,51.3595,1.21294
STATS_Level_5,2025142,1863379,0,0,1411295,53.0782,1.3016
STATS_Level_6,2025162,1864337,0,0,1420796,53.4355,1.36172
STATS_Level_7,2025163,1864348,0,0,1423226,53.5269,1.4069
STATS_Level_8,2025163,1864348,0,0,1423980,53.5552,1.45371
STATS_Level_9,2025163,1864348,0,0,1424031,53.5571,1.49402
STATS_Level_10,2025163,1864348,0,0,1424031,53.5571,1.53711
STATS_Level_11,2025163,1864348,0,0,1424031,53.5571,1.58124
STATS_Level_12,2025163,1864348,0,0,1424031,53.5571,1.62495
