N:10880
M:79988
Fixing indices with minimum=1
Unique M:79988
Generating order...
---------------------------
No vertices is 10880
No edges is 79988
---------------------------
Min deg: 0
Max deg: 103
Avg deg: 7.35184
---------------------------
# deg 0: 4
# deg 1: 2467
# deg 2: 1439
# deg 3: 804
---------------------------
# deg>=32: 95
# deg>=64: 6
# deg>=128: 0
# deg>=256: 0
# deg>=512: 0
# deg>=1024: 0
---------------------------

Running with 32 threads 
largest component graph obtained with 10876 vertices 79988 edges -- 79988
starting degree computation
Deg-cent is computed in 3.14489e-05 seconds
Ordering based on degree...
Constructed BP Labels in 0.0115712 seconds
Preprocessing: 0.0153939 seconds
Memory Allocations: 0.270299 seconds
Total Initial Memory: 6189 MB
Init. Data Structures: 0.000514612 seconds
Level 0: 2.46204e-05 seconds
Level 1: 0.0107587 seconds
u=8174, cache_time=9587, prune_time=100369, alloc_time=7847, write_time=77335 
u=7974, cache_time=3302, prune_time=315876, alloc_time=16059, write_time=103882 
u=7373, cache_time=4195, prune_time=102615, alloc_time=34508, write_time=26457 
u=7032, cache_time=5024, prune_time=244882, alloc_time=548371, write_time=341007 
u=6772, cache_time=9161, prune_time=34970, alloc_time=662814, write_time=136393 
u=6131, cache_time=15477, prune_time=425128, alloc_time=36006, write_time=141392 
u=6635, cache_time=3202, prune_time=44175, alloc_time=436893, write_time=47592 
u=8776, cache_time=6937, prune_time=132045, alloc_time=1437523, write_time=435555 
u=5699, cache_time=21113, prune_time=312386, alloc_time=128711, write_time=236365 
u=6546, cache_time=20159, prune_time=42886, alloc_time=519002, write_time=114251 
u=5633, cache_time=9867, prune_time=117635, alloc_time=877080, write_time=152274 
u=7128, cache_time=7126, prune_time=416369, alloc_time=14967, write_time=567612 
u=7748, cache_time=6165, prune_time=353407, alloc_time=483004, write_time=551624 
u=7029, cache_time=55502, prune_time=2214869, alloc_time=55007, write_time=51281 
u=5925, cache_time=5562, prune_time=1001171, alloc_time=72535, write_time=335 
u=7034, cache_time=3580, prune_time=259112, alloc_time=226879, write_time=456140 
u=7710, cache_time=24749, prune_time=267293, alloc_time=230049, write_time=252681 
u=6658, cache_time=9276, prune_time=31179, alloc_time=418335, write_time=153378 
u=5995, cache_time=18806, prune_time=151610, alloc_time=221063, write_time=304234 
u=6026, cache_time=10576, prune_time=185393, alloc_time=254927, write_time=276921 
u=7558, cache_time=17431, prune_time=412294, alloc_time=268738, write_time=687121 
u=6018, cache_time=3259, prune_time=105321, alloc_time=341348, write_time=509151 
u=6770, cache_time=4449, prune_time=54080, alloc_time=425472, write_time=433370 
u=7573, cache_time=5317, prune_time=253829, alloc_time=524150, write_time=927779 
u=8935, cache_time=25895, prune_time=942394, alloc_time=2419335, write_time=2978 
u=7323, cache_time=32839, prune_time=927935, alloc_time=2418909, write_time=71294 
u=6288, cache_time=6103, prune_time=31156, alloc_time=622177, write_time=132264 
u=8164, cache_time=17932, prune_time=595548, alloc_time=200223, write_time=1343838 
u=7225, cache_time=3652, prune_time=748741, alloc_time=410866, write_time=1370918 
u=7330, cache_time=6531, prune_time=95075, alloc_time=2372884, write_time=651964 
u=7360, cache_time=4471, prune_time=531428, alloc_time=263011, write_time=1459673 
u=5854, cache_time=10309, prune_time=379655, alloc_time=1033578, write_time=1041700 
u=9688, cache_time=5121, prune_time=46671, alloc_time=919078, write_time=300125 
u=4864, cache_time=10248, prune_time=438505, alloc_time=297320, write_time=1673354 
u=6881, cache_time=3326, prune_time=3541451, alloc_time=512976, write_time=221486 
u=7084, cache_time=14862, prune_time=21431, alloc_time=1852078, write_time=297906 
u=6074, cache_time=72857, prune_time=85020, alloc_time=2095950, write_time=427454 
u=7668, cache_time=36479, prune_time=227754, alloc_time=1105433, write_time=316942 
u=4458, cache_time=19651, prune_time=27035, alloc_time=2622952, write_time=317763 
u=6083, cache_time=79422, prune_time=2127152, alloc_time=50066, write_time=62903 
u=7988, cache_time=263277, prune_time=379549, alloc_time=77216, write_time=47024 
u=6846, cache_time=10855, prune_time=49696, alloc_time=2365003, write_time=327402 
u=5586, cache_time=17751, prune_time=348000, alloc_time=1222720, write_time=844588 
u=8798, cache_time=10526, prune_time=100793, alloc_time=2987628, write_time=720865 
u=7762, cache_time=13038, prune_time=48662, alloc_time=2392322, write_time=341451 
u=7716, cache_time=8951, prune_time=75939, alloc_time=1170906, write_time=596131 
u=6959, cache_time=9541, prune_time=51843, alloc_time=2652834, write_time=382118 
u=7268, cache_time=200726, prune_time=1540648, alloc_time=511208, write_time=292909 
u=8415, cache_time=5674, prune_time=347582, alloc_time=1145793, write_time=2451740 
u=7472, cache_time=3767, prune_time=353769, alloc_time=2113956, write_time=1622766 
u=5629, cache_time=3086, prune_time=515365, alloc_time=4275198, write_time=487386 
u=7987, cache_time=3740, prune_time=1097669, alloc_time=1424933, write_time=665545 
u=7213, cache_time=7095, prune_time=95230, alloc_time=3774912, write_time=569090 
u=9689, cache_time=12434, prune_time=43549, alloc_time=4581362, write_time=299273 
u=5964, cache_time=12183, prune_time=153088, alloc_time=3187004, write_time=1097295 
u=8623, cache_time=7194, prune_time=103977, alloc_time=2537985, write_time=1305838 
u=8105, cache_time=3128, prune_time=787516, alloc_time=3742421, write_time=376795 
u=7016, cache_time=5554, prune_time=236453, alloc_time=2972125, write_time=1059512 
u=6977, cache_time=10484, prune_time=28040, alloc_time=3776045, write_time=330575 
u=9297, cache_time=13981, prune_time=124878, alloc_time=3388147, write_time=937066 
u=7383, cache_time=11005, prune_time=166608, alloc_time=1539995, write_time=1369374 
u=6036, cache_time=3306, prune_time=370094, alloc_time=913138, write_time=1859583 
u=8281, cache_time=7014, prune_time=1281635, alloc_time=2191104, write_time=694230 
u=5547, cache_time=18824, prune_time=129018, alloc_time=2011433, write_time=1315605 
u=6291, cache_time=6049, prune_time=27017, alloc_time=4196620, write_time=289232 
u=8095, cache_time=16391, prune_time=52220, alloc_time=4911452, write_time=343226 
u=6057, cache_time=6345, prune_time=85389, alloc_time=3732868, write_time=657272 
u=7048, cache_time=356467, prune_time=559617, alloc_time=145579, write_time=76996 
u=7232, cache_time=271808, prune_time=4300822, alloc_time=792, write_time=444 
u=7251, cache_time=8023, prune_time=437151, alloc_time=1403909, write_time=3285498 
u=8393, cache_time=237780, prune_time=977209, alloc_time=2170597, write_time=745689 
u=7169, cache_time=13776, prune_time=84003, alloc_time=3822894, write_time=1159929 
u=7347, cache_time=5723, prune_time=1103919, alloc_time=1828727, write_time=1894992 
u=5735, cache_time=12782, prune_time=303606, alloc_time=2389270, write_time=2426444 
u=10431, cache_time=3674, prune_time=111538, alloc_time=4169550, write_time=1348819 
u=6967, cache_time=521464, prune_time=203653, alloc_time=128468, write_time=70229 
u=7002, cache_time=2359, prune_time=346684, alloc_time=456436, write_time=2951107 
u=7186, cache_time=3470, prune_time=765344, alloc_time=2373049, write_time=2420191 
u=8221, cache_time=190949, prune_time=1054391, alloc_time=4184078, write_time=366585 
u=7130, cache_time=8123, prune_time=202199, alloc_time=414038, write_time=2638267 
u=7650, cache_time=5544, prune_time=266569, alloc_time=2437032, write_time=3008423 
u=8305, cache_time=3224, prune_time=25055, alloc_time=6535298, write_time=395075 
u=7044, cache_time=8536, prune_time=288067, alloc_time=3500775, write_time=2445574 
u=7081, cache_time=190950, prune_time=2033320, alloc_time=3323225, write_time=646105 
u=8492, cache_time=3776, prune_time=601107, alloc_time=2727100, write_time=2825193 
u=6155, cache_time=324258, prune_time=2074065, alloc_time=3421978, write_time=523105 
u=7826, cache_time=18667, prune_time=1491452, alloc_time=1478458, write_time=2514533 
u=9963, cache_time=127622, prune_time=1231939, alloc_time=5429876, write_time=469765 
u=5739, cache_time=149568, prune_time=3480715, alloc_time=2571867, write_time=1006987 
u=7604, cache_time=21833, prune_time=341774, alloc_time=1249118, write_time=3827654 
u=7747, cache_time=13061, prune_time=83401, alloc_time=6041121, write_time=910700 
u=6996, cache_time=3350, prune_time=55873, alloc_time=4807979, write_time=939086 
u=7070, cache_time=299775, prune_time=4152884, alloc_time=203415, write_time=109223 
u=8365, cache_time=292763, prune_time=3079861, alloc_time=64349, write_time=65588 
u=7632, cache_time=6445, prune_time=44101, alloc_time=5463246, write_time=619082 
u=6775, cache_time=4135, prune_time=123160, alloc_time=5838760, write_time=1233887 
u=7440, cache_time=10438, prune_time=541748, alloc_time=639553, write_time=4241642 
u=8043, cache_time=6379, prune_time=100724, alloc_time=6882639, write_time=1359289 
u=5856, cache_time=7984, prune_time=37605, alloc_time=5921951, write_time=535531 
u=7841, cache_time=12747, prune_time=80949, alloc_time=7517444, write_time=469839 
u=7355, cache_time=8602, prune_time=1555032, alloc_time=465110, write_time=4785278 
u=7333, cache_time=3396, prune_time=5677015, alloc_time=414380, write_time=1595294 
u=8437, cache_time=8670, prune_time=380978, alloc_time=3290624, write_time=3658193 
u=7403, cache_time=15941, prune_time=378092, alloc_time=4197789, write_time=3380356 
u=6384, cache_time=7404, prune_time=118686, alloc_time=5661765, write_time=1644965 
u=6392, cache_time=3481, prune_time=364296, alloc_time=1849701, write_time=4599966 
u=7378, cache_time=577397, prune_time=1713830, alloc_time=108239, write_time=114538 
u=7651, cache_time=5879, prune_time=342094, alloc_time=2579788, write_time=4518366 
u=7679, cache_time=6689, prune_time=420971, alloc_time=4431989, write_time=3688092 
u=6253, cache_time=16167, prune_time=472648, alloc_time=4023930, write_time=4096557 
u=6300, cache_time=2659, prune_time=408992, alloc_time=1914151, write_time=5963009 
u=6613, cache_time=236533, prune_time=4273350, alloc_time=8920451, write_time=9573 
u=9759, cache_time=13607, prune_time=138354, alloc_time=14184758, write_time=9623 
u=7089, cache_time=3495, prune_time=265722, alloc_time=7040484, write_time=4848349 
u=6468, cache_time=3340, prune_time=128751, alloc_time=5210149, write_time=3286081 
u=7019, cache_time=9892, prune_time=1411893, alloc_time=871960, write_time=5747343 
u=7627, cache_time=7497, prune_time=461865, alloc_time=7311040, write_time=4405948 
